state,county,metro,life_exp,covid_mort,year,fipscode
AL,Autauga County,non-metro,76.59,82,2022,1001
AL,Baldwin County,non-metro,77.72,50,2022,1003
AL,Barbour County,non-metro,72.87,110.3,2022,1005
AL,Bibb County,non-metro,73.61,147.5,2022,1007
AL,Blount County,non-metro,74.17,117.5,2022,1009
AL,Bullock County,non-metro,73.81,159.5,2022,1011
AL,Butler County,non-metro,73.47,170.8,2022,1013
AL,Calhoun County,non-metro,72.83,118.9,2022,1015
AL,Chambers County,non-metro,73.76,147.4,2022,1017
AL,Cherokee County,non-metro,74.01,76.7,2022,1019
AL,Chilton County,non-metro,74.39,138.3,2022,1021
AL,Choctaw County,non-metro,74.21,134.3,2022,1023
AL,Clarke County,non-metro,71.74,126.5,2022,1025
AL,Clay County,non-metro,72.9,203.3,2022,1027
AL,Cleburne County,non-metro,74.35,106.9,2022,1029
AL,Coffee County,non-metro,75.27,102.8,2022,1031
AL,Colbert County,non-metro,73.88,101.7,2022,1033
AL,Conecuh County,non-metro,71.19,130.1,2022,1035
AL,Coosa County,non-metro,73.93,122.8,2022,1037
AL,Covington County,non-metro,72.92,150.6,2022,1039
AL,Crenshaw County,non-metro,72.59,146.9,2022,1041
AL,Cullman County,non-metro,73.91,104,2022,1043
AL,Dale County,non-metro,74.91,135.6,2022,1045
AL,Dallas County,non-metro,71.09,202.3,2022,1047
AL,DeKalb County,non-metro,73.84,137.3,2022,1049
AL,Elmore County,non-metro,75.29,94.9,2022,1051
AL,Escambia County,non-metro,72.21,117.4,2022,1053
AL,Etowah County,non-metro,72.54,158.7,2022,1055
AL,Fayette County,non-metro,73.06,166.1,2022,1057
AL,Franklin County,non-metro,73.68,119.9,2022,1059
AL,Geneva County,non-metro,72.63,132.6,2022,1061
AL,Greene County,non-metro,72.86,151.1,2022,1063
AL,Hale County,non-metro,72.55,193.6,2022,1065
AL,Henry County,non-metro,75.54,90.4,2022,1067
AL,Houston County,non-metro,75.65,120.7,2022,1069
AL,Jackson County,non-metro,73.27,90,2022,1071
AL,Jefferson County,metro,74.06,93.1,2022,1073
AL,Lamar County,non-metro,75.26,193.9,2022,1075
AL,Lauderdale County,non-metro,75.95,92.5,2022,1077
AL,Lawrence County,non-metro,72.86,128.8,2022,1079
AL,Lee County,non-metro,77.72,85.9,2022,1081
AL,Limestone County,non-metro,77.1,78.3,2022,1083
AL,Lowndes County,non-metro,70.3,291.7,2022,1085
AL,Macon County,non-metro,71.28,145,2022,1087
AL,Madison County,metro,77.35,48.3,2022,1089
AL,Marengo County,non-metro,71.03,130.3,2022,1091
AL,Marion County,non-metro,73.08,124.8,2022,1093
AL,Marshall County,non-metro,73.89,119.8,2022,1095
AL,Mobile County,metro,74.44,93.1,2022,1097
AL,Monroe County,non-metro,73.29,96.6,2022,1099
AL,Montgomery County,metro,75.25,128.6,2022,1101
AL,Morgan County,non-metro,74.2,108.2,2022,1103
AL,Perry County,non-metro,70.79,177.1,2022,1105
AL,Pickens County,non-metro,73.91,125.9,2022,1107
AL,Pike County,non-metro,73.93,112.1,2022,1109
AL,Randolph County,non-metro,73.92,153,2022,1111
AL,Russell County,non-metro,73.38,108.9,2022,1113
AL,St. Clair County,non-metro,74.74,120.1,2022,1115
AL,Shelby County,metro,80.26,57.1,2022,1117
AL,Sumter County,non-metro,71.91,164.3,2022,1119
AL,Talladega County,non-metro,72.93,121.2,2022,1121
AL,Tallapoosa County,non-metro,73.93,119.4,2022,1123
AL,Tuscaloosa County,non-metro,75.83,117.2,2022,1125
AL,Walker County,non-metro,69.63,184.1,2022,1127
AL,Washington County,non-metro,75.29,110.9,2022,1129
AL,Wilcox County,non-metro,69.85,153.5,2022,1131
AL,Winston County,non-metro,74.82,94.3,2022,1133
AK,Anchorage Borough,metro,78.68,44.9,2022,2020
AK,Bethel Census Area,non-metro,70.71,196.5,2022,2050
AK,Fairbanks North Star Borough,non-metro,80.21,31.5,2022,2090
AK,Kenai Peninsula Borough,non-metro,79.23,28.7,2022,2122
AK,Matanuska-Susitna Borough,non-metro,78.99,36.5,2022,2170
AZ,Apache County,non-metro,70.13,367.9,2022,4001
AZ,Cochise County,non-metro,78.25,82.9,2022,4003
AZ,Coconino County,non-metro,77.97,148.2,2022,4005
AZ,Gila County,non-metro,72.68,129.1,2022,4007
AZ,Graham County,non-metro,76.97,123.7,2022,4009
AZ,La Paz County,non-metro,77.7,51.6,2022,4012
AZ,Maricopa County,metro,79.64,81.8,2022,4013
AZ,Mohave County,metro,75.47,70,2022,4015
AZ,Navajo County,non-metro,71.4,266.7,2022,4017
AZ,Pima County,metro,78.47,76.9,2022,4019
AZ,Pinal County,metro,81.8,58.8,2022,4021
AZ,Santa Cruz County,non-metro,81.19,160.4,2022,4023
