fipscode,state,county,adult_obesity,food_insecurity,year,county_ranked
1001,AL,Autauga County,0.353,0.157,2022,1
1003,AL,Baldwin County,0.296,0.134,2022,1
1005,AL,Barbour County,0.404,0.207,2022,1
1007,AL,Bibb County,0.412,0.163,2022,1
1009,AL,Blount County,0.387,0.145,2022,1
1011,AL,Bullock County,0.438,0.157,2022,1
1013,AL,Butler County,0.397,0.165,2022,1
1015,AL,Calhoun County,0.359,0.172,2022,1
1017,AL,Chambers County,0.395,0.154,2022,1
1019,AL,Cherokee County,0.343,0.161,2022,1
1021,AL,Chilton County,0.392,0.172,2022,1
1023,AL,Choctaw County,0.397,0.189,2022,1
1025,AL,Clarke County,0.444,0.186,2022,1
1027,AL,Clay County,0.371,0.165,2022,1
1029,AL,Cleburne County,0.356,0.182,2022,1
1031,AL,Coffee County,0.346,0.157,2022,1
1033,AL,Colbert County,0.359,0.165,2022,1
1035,AL,Conecuh County,0.41,0.16,2022,1
1037,AL,Coosa County,0.392,0.15,2022,1
1039,AL,Covington County,0.366,0.181,2022,1
1041,AL,Crenshaw County,0.356,0.155,2022,1
1043,AL,Cullman County,0.332,0.164,2022,1
1045,AL,Dale County,0.381,0.178,2022,1
1047,AL,Dallas County,0.474,0.19,2022,1
1049,AL,DeKalb County,0.353,0.172,2022,1
1051,AL,Elmore County,0.358,0.139,2022,1
1053,AL,Escambia County,0.387,0.177,2022,1
1055,AL,Etowah County,0.345,0.168,2022,1
1057,AL,Fayette County,0.371,0.188,2022,1
1059,AL,Franklin County,0.379,0.163,2022,1
1061,AL,Geneva County,0.359,0.198,2022,1
1063,AL,Greene County,0.47,0.222,2022,1
1065,AL,Hale County,0.438,0.169,2022,1
1067,AL,Henry County,0.385,0.145,2022,1
1069,AL,Houston County,0.402,0.164,2022,1
1071,AL,Jackson County,0.386,0.181,2022,1
1073,AL,Jefferson County,0.342,0.144,2022,1
1075,AL,Lamar County,0.364,0.187,2022,1
1077,AL,Lauderdale County,0.327,0.155,2022,1
1079,AL,Lawrence County,0.355,0.177,2022,1
1081,AL,Lee County,0.336,0.149,2022,1
1083,AL,Limestone County,0.337,0.143,2022,1
1085,AL,Lowndes County,0.458,0.193,2022,1
1087,AL,Macon County,0.404,0.154,2022,1
1089,AL,Madison County,0.325,0.13,2022,1
1091,AL,Marengo County,0.436,0.173,2022,1
1093,AL,Marion County,0.359,0.192,2022,1
1095,AL,Marshall County,0.38,0.171,2022,1
1097,AL,Mobile County,0.364,0.158,2022,1
1099,AL,Monroe County,0.411,0.199,2022,1
1101,AL,Montgomery County,0.376,0.15,2022,1
1103,AL,Morgan County,0.345,0.15,2022,1
1105,AL,Perry County,0.462,0.201,2022,1
1107,AL,Pickens County,0.401,0.178,2022,1
1109,AL,Pike County,0.363,0.169,2022,1
1111,AL,Randolph County,0.345,0.155,2022,1
1113,AL,Russell County,0.385,0.168,2022,1
1115,AL,St. Clair County,0.352,0.144,2022,1
1117,AL,Shelby County,0.302,0.106,2022,1
1119,AL,Sumter County,0.435,0.198,2022,1
1121,AL,Talladega County,0.371,0.168,2022,1
1123,AL,Tallapoosa County,0.386,0.164,2022,1
1125,AL,Tuscaloosa County,0.383,0.143,2022,1
1127,AL,Walker County,0.353,0.186,2022,1
1129,AL,Washington County,0.403,0.184,2022,1
1131,AL,Wilcox County,0.454,0.201,2022,1
1133,AL,Winston County,0.383,0.187,2022,1
2016,AK,Aleutians West Census Area,0.277,0.115,2022,1
2020,AK,Anchorage Borough,0.307,0.109,2022,1
2050,AK,Bethel Census Area,0.383,0.225,2022,1
2070,AK,Dillingham Census Area,0.357,0.163,2022,1
2090,AK,Fairbanks North Star Borough,0.304,0.111,2022,1
2100,AK,Haines Borough,0.302,0.139,2022,1
2105,AK,Hoonah-Angoon Census Area,0.348,0.149,2022,1
2110,AK,Juneau Borough,0.275,0.103,2022,1
2122,AK,Kenai Peninsula Borough,0.274,0.135,2022,1
2130,AK,Ketchikan Gateway Borough,0.317,0.129,2022,1
2150,AK,Kodiak Island Borough,0.292,0.115,2022,1
2158,AK,Kusilvak Census Area,0.451,0.286,2022,1
2164,AK,Lake and Peninsula Borough,0.371,0.167,2022,1
