fipscode,county,state,county_clustered,year,v001_rawvalue,v002_rawvalue,v036_rawvalue,v042_rawvalue,v037_rawvalue,v009_rawvalue,v011_rawvalue,v133_rawvalue,v070_rawvalue,v132_rawvalue,v049_rawvalue,v134_rawvalue,v045_rawvalue,v014_rawvalue,v085_rawvalue,v004_rawvalue,v088_rawvalue,v062_rawvalue,v005_rawvalue,v050_rawvalue,v155_rawvalue,v021_rawvalue,v069_rawvalue,v023_rawvalue,v024_rawvalue,v044_rawvalue,v082_rawvalue,v140_rawvalue,v043_rawvalue,v135_rawvalue,v125_rawvalue,v124_rawvalue,v136_rawvalue,v067_rawvalue,v137_rawvalue,v147_rawvalue,v127_rawvalue,v128_rawvalue,v129_rawvalue,v144_rawvalue,v145_rawvalue,v060_rawvalue,v061_rawvalue,v139_rawvalue,v083_rawvalue,v138_rawvalue,v039_rawvalue,v143_rawvalue,v003_rawvalue,v122_rawvalue,v131_rawvalue,v149_rawvalue,v063_rawvalue,v065_rawvalue,v141_rawvalue,v142_rawvalue,v015_rawvalue,v148_rawvalue,v153_rawvalue,v154_rawvalue,v051_rawvalue,v052_rawvalue,v053_rawvalue,v054_rawvalue,v055_rawvalue,v081_rawvalue,v080_rawvalue,v056_rawvalue,v126_rawvalue,v059_rawvalue,v057_rawvalue,v058_rawvalue,v104_rawvalue,v105_rawvalue,v099_rawvalue,v100_rawvalue,v101_rawvalue,v010_rawvalue,v108_rawvalue,v150_rawvalue,v109_rawvalue,v018_rawvalue,v019_rawvalue,v020_rawvalue,v103_rawvalue,v116_rawvalue,v117_rawvalue,v118_rawvalue,v120_rawvalue,v121_rawvalue,v119_rawvalue,v106_rawvalue,v107_rawvalue,v123_rawvalue,v008_rawvalue,v013_rawvalue,v016_rawvalue,v017_rawvalue,v025_rawvalue,v026_rawvalue,v027_rawvalue,v031_rawvalue,v032_rawvalue,v035_rawvalue,v097_rawvalue
01001,Autauga County,AL,1,2019,8824.057123,0.184111244,4.200577983,4.306739284,0.084757194,0.191246585,0.375,7.2,0.311,0.686775027,0.168780151,0.288135593,341.2,26.52420801,0.085009665,4.15E-04,3.24E-04,1.62E-04,6599,0.44,0.41,0.9,0.60854665,0.038635223,0.193,4.636663878,0.247000969,12.63173091,272.2822201,74.0318084,11.7,0,0.149546458,0.859650565,0.383,76.33058901,438.7,53.27944148,7.699275362,0.128244345,0.126383571,0.142,225.5,0.134,0.11991125,9.623076137,20.37715798,0.359054061,0.109611038,0.024761905,3.06E-04,0.080116533,58343,0.479316643,29.9453928,27.14756927,5.2,17.7,0.732877363,0.126452058,55504,0.239370136,0.15119631,0.192544682,0.004756414,0.012791871,0.00104497,0.028574517,0.744739118,0.008285483,0.513422456,0.420021623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01003,Baldwin County,AL,1,2019,7224.63216,0.180604578,4.098747769,4.249648781,0.083386828,0.167954852,0.31,8,0.238,0.719710312,0.167149687,0.31875,338.8,29.59400943,0.10699288,7.29E-04,4.99E-04,9.12E-04,3833,0.45,0.45,0.863615768,0.661339263,0.039883364,0.147,4.518559604,0.25184091,10.6922129,203.6603963,69.37428899,10.3,1,0.138317253,0.847194235,0.405,78.59949766,348.4,47.00001659,5.851337449,0.126220016,0.128225582,0.113,163.9,0.123,0.054244266,16.32261162,15.09236384,0.333058681,0.135703108,0.032380267,5.22E-04,0.078257402,56607,0.450791312,43.90836097,33.2400592,2.9,14.4,0.728593383,0.12795922,212628,0.218484866,0.199470437,0.089531953,0.007760032,0.011564799,6.87E-04,0.045502004,0.830473879,0.004545123,0.51452772,0.422790991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01005,Barbour County,AL,1,2019,9586.165037,0.257734156,5.067438304,4.634994147,0.109526235,0.215408776,0.443,5.6,0.282,0.536256692,0.126987154,0.296296296,557.9,45.0928382,0.125131966,3.85E-04,3.56E-04,7.91E-05,4736,0.46,0.37,0.814102564,0.367740081,0.059009228,0.503,5.755062606,0.572157434,8.472944348,414.2778607,72.90013441,11.5,0,0.154555315,0.834043533,0.338,75.77945737,469.8,77.08002721,NA,0.162161596,0.146323106,0.18,436,0.232,0.107396666,NA,20.96695286,0.385631671,0.165422397,0.029014237,2.37E-04,0.120448179,32490,0.737698082,27.1024881,24.31376525,7,15.2,0.625068001,0.135867652,25270,0.207637515,0.188246933,0.47942224,0.006529482,0.004629996,0.001859913,0.042065691,0.459556787,0.011992732,0.472299169,0.677896347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01007,Bibb County,AL,1,2019,11783.54368,0.199969119,4.363377278,4.315710019,0.111050028,0.199164042,0.378,7.6,0.349,0.162513637,0.159251508,0.272727273,302.1,45.45454546,0.096800753,5.74E-04,2.65E-04,8.82E-05,5998,0.44,0.39,0.837638376,0.484063104,0.043851399,0.273,4.254594439,0.295654036,10.15766462,89.34912598,100.0779368,11.2,0,0.109608541,0.863659023,0.486,73.92827108,563.7,111.7496807,14.79289941,0.131629683,0.128540361,0.149,191.9,0.158,0.02601627,22.09326303,25.2724688,0.381488654,0.12297319,0.026194468,9.26E-04,NA,45795,0.65329687,39.37665069,38.49942387,8.2,21.3,0.753614806,0.087338893,22668,0.206061408,0.160225869,0.214575613,0.00427916,0.002205753,0.001146991,0.026380801,0.742985707,0.003943477,0.464531498,0.683526075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01009,Blount County,AL,1,2019,10908.10182,0.210953232,4.512752648,4.701599259,0.079268293,0.196521582,0.344,8.5,0.285,0.229493039,0.153787219,0.21875,114.3,35.60055524,0.121140042,2.25E-04,2.07E-04,1.03E-04,4162,0.36,0.38,0.934687954,0.544139975,0.04021393,0.185,4.126883464,0.295697329,9.011507001,482.6906109,105.1972275,11.7,0,0.10401153,0.867922751,0.597,74.59776688,501.8,76.03293524,6.184687567,0.137200568,0.138279427,0.143,95.4,0.11,0.028801498,24.79958475,25.71177105,0.359450104,0.155646042,0.034301362,1.90E-04,0.151054591,48253,0.533117932,45.6811828,21.20576132,7.4,19.7,0.785210247,0.081944952,58013,0.233499388,0.178425525,0.014600176,0.006326168,0.003016565,0.001172151,0.095650975,0.869443056,0.018700043,0.506886388,0.89951502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01011,Bullock County,AL,1,2019,12066.91026,0.294077139,5.22661939,4.791918477,0.137320044,0.234782912,0.394,4.2,0.292,0.266904893,0.128963173,0.607142857,733.9,54.59317585,0.132064834,2.90E-04,1.94E-04,9.70E-05,6767,0.44,0.26,0.702479339,0.336206897,0.04925187,0.483,6.599523479,0.761574074,9.650646593,311.0273327,109.9109342,11.2,0,0.207598372,0.730769231,0.473,73.11753012,568.2,135.4707609,NA,0.166324794,0.148400547,0.2,691.3,0.26,0.197433507,NA,46.07920202,0.450206359,0.176718093,0.027890238,7.76E-04,NA,29113,0.689701897,21.18399108,19.54319235,NA,19,0.70027248,0.193948127,10309,0.207100592,0.158211272,0.691628674,0.008439228,0.001940052,0.00776021,0.082452226,0.213017752,0.011046924,0.455330294,0.513743815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01013,Butler County,AL,1,2019,14018.60626,0.265026132,5.117432617,5.134573082,0.124117647,0.221976555,0.402,6.5,0.347,0.485797489,0.130428113,0.3125,827.7,42.14559387,0.106670843,3.00E-04,3.03E-04,3.53E-04,7962,0.42,0.35,0.815899582,0.384441708,0.054884865,0.33,5.122785583,0.525643848,11.50115012,581.5840052,95.48628379,10.6,0,0.137802607,0.835629017,0.318,73.50538502,577.1,122.7714316,NA,0.161979282,0.154742051,0.179,268.4,0.217,0.029261219,NA,26.85607265,0.419110839,0.139828281,0.024958403,6.56E-04,0.130869131,36842,0.785691472,34.92788416,34.34164107,17,23.9,0.70070922,0.112630609,19825,0.227339218,0.19556116,0.446153846,0.003783102,0.010290038,5.04E-04,0.014375788,0.515964691,0.007127019,0.534325347,0.712321574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01015,Calhoun County,AL,1,2019,12217.75998,0.195847014,4.290448066,4.476572166,0.0900233,0.204622318,0.371,6.9,0.302,0.447137604,0.15431677,0.178571429,587.5,37.04963896,0.111982059,6.46E-04,6.45E-04,9.85E-04,6450,0.33,0.38,0.923680457,0.575222157,0.049339652,0.242,4.983813569,0.392977718,14.30927223,756.0665443,82.06214909,11.8,0,0.145388108,0.850223595,0.306,73.1029477,572.2,77.01345761,7.831777706,0.130209526,0.138065685,0.162,211.2,0.167,0.091785666,19.13270853,18.2108123,0.41314344,0.144313164,0.023045236,5.06E-04,0.074612403,45937,0.590292887,47.12809615,41.2247915,10.3,24.2,0.693917825,0.11579095,114728,0.217897985,0.173122516,0.207900425,0.005290775,0.009910397,0.001124399,0.037497385,0.723110313,0.008809683,0.519306534,0.336968256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01017,Chambers County,AL,1,2019,11273.17098,0.252198355,5.037044668,4.93264621,0.124460432,0.220403696,0.403,6.3,0.324,0.618646792,0.135284509,0.342105263,792.3,49.5748667,0.10656983,5.02E-04,2.08E-04,5.93E-05,5511,0.38,0.43,0.862385321,0.471399387,0.040788087,0.296,4.739234303,0.484055944,17.72892474,528.9997362,81.21612317,11.4,0,0.160681901,0.871076469,0.309,74.12227764,536.3,86.7062047,8.064516129,0.154282077,0.145600024,0.17,366.9,0.195,0.103285583,NA,23.95763282,0.372665748,0.13522138,0.024853202,1.48E-04,0.126634549,36883,0.559180075,26.56288049,25.58816395,9.7,23.5,0.664743683,0.128283541,33713,0.211372468,0.190786937,0.394892178,0.002966215,0.012487764,4.45E-04,0.024382286,0.554978792,0.001538945,0.521252929,0.491480345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01019,Cherokee County,AL,1,2019,11294.41054,0.192915935,4.277917079,4.681252945,0.082324455,0.191448526,0.363,8.5,0.318,0.334295279,0.152327307,0.178571429,169,41.12258819,0.118954248,3.50E-04,1.55E-04,1.93E-04,6577,0.33,0.43,0.949044586,0.500636017,0.040540541,0.25,4.786069357,0.264224474,10.1068999,330.438792,105.6438491,11.4,0,0.154698582,0.849758504,0.434,74.34657229,536.9,NA,NA,0.130095569,0.13643444,0.135,90.1,0.125,0.002211124,14.20436203,33.56092408,0.353550708,0.149392087,0.029816947,6.96E-04,NA,44842,0.638398408,36.49800235,33.66596476,8.3,24.7,0.781380269,0.103925417,25857,0.197122636,0.226166995,0.042154929,0.006303902,0.002977917,3.09E-04,0.016436555,0.916850369,9.72E-04,0.503190625,0.85736273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
