nbhd_id,nbhd_name,pop20,pop10,pop_grow,location,age65plus,income22,unemp22
1,BELLAIRE-PURITAS,13823,13380,Rise,West,13.85,41324,Middle
2,BROADWAY-SLAVIC VILLAGE,18854,22331,Fall,Central,11.8,32896,Middle
3,BROOKLYN CENTRE,8315,8948,Fall,Central,11.85,32308,Middle
4,BUCKEYE SHAKER,11419,12470,Fall,East,22.48,35402,Middle
5,CENTRAL,11955,12306,Fall,Central,7.41,16258,High
6,CLARK FULTON,7625,8509,Fall,Central,10.64,33006,Middle
7,COLLINWOOD NOTTINGHAM,9616,11542,Fall,East,13.46,30580,Middle
8,CUDELL,9125,9287,Fall,West,10.31,29417,High
9,CUYAHOGA VALLEY,1404,1371,Rise,Central,1.54,20266,High
10,DETROIT-SHOREWAY,11285,11577,Fall,Central,11.98,45235,Low
11,DOWNTOWN,13302,9464,Rise,Central,7.52,61467,Low
12,EDGEWATER,6000,5851,Rise,West,13.46,52709,Low
13,EUCLID GREEN,5051,5533,Fall,East,18.82,36322,Low
14,FAIRFAX,5167,6239,Fall,East,17.09,24671,High
15,GLENVILLE,21137,27394,Fall,East,16.97,30448,High
16,GOODRICH-KIRTLAND PARK,3955,4238,Fall,Central,15.07,30887,Low
17,HOPKINS,366,215,Rise,West,14.49,29497,Middle
18,HOUGH,9702,11490,Fall,East,18.45,19721,High
19,JEFFERSON,17351,16548,Rise,West,11.33,49908,Low
20,KAMMS CORNERS,24480,25238,Fall,West,15.5,63280,Low
21,KINSMAN,6032,6966,Fall,East,16.9,25872,High
22,LEE-HARVARD,9770,10326,Fall,East,22.26,53278,Middle
23,LEE-SEVILLE,4145,4477,Fall,East,20.48,38904,High
24,MOUNT PLEASANT,14015,17320,Fall,East,22.61,27475,Middle
25,NORTH SHORE COLLINWOOD,14928,15768,Fall,East,20.46,30023,Low
26,OHIO CITY,9260,8403,Rise,Central,10.61,62890,Low
27,OLD BROOKLYN,32315,32009,Rise,Central,13.33,48061,Middle
28,SAINT CLAIR-SUPERIOR,5139,6876,Fall,East,16.72,29612,Middle
29,STOCKYARDS,9522,10411,Fall,Central,12.32,33553,Middle
30,TREMONT,7699,7975,Fall,Central,9.44,58716,Low
31,UNION-MILES PARK,15625,19004,Fall,East,20.14,32788,High
32,UNIVERSITY CIRCLE,9558,7939,Rise,East,14.88,24780,Low
33,WEST BOULEVARD,18971,18888,Rise,West,9.75,37973,Middle
34,WOODLAND HILLS,5625,6678,Fall,East,19.05,25696,Middle
