C_NUM,COUNTRY_NAME,HALE_ALL,UNIV_CARE,WBANK_INCOME,HALE_2000,BIRTHS_ATTEND,IHR_CORE_CAP,AVG_TEMPC,FEMALE_22,RURAL_22,COVID_VAX100,WHO_REGION,ISO_ALPHA3
1,Afghanistan,50.4,no,Low,46.8,68,38,13.37,49.51,73.38,44.67,Eastern Mediterranean,AFG
2,Albania,66.7,yes,Upper-middle,65.2,100,95,12.44,50.12,36.2,45.01,European,ALB
3,Algeria,65.5,yes,Lower-middle,62.7,99,72,23.6,49.09,25.23,14.43,African,DZA
4,Andorra,NA,no,High,NA,100,NA,8.27,48.91,12.19,67.01,European,AND
5,Angola,53.8,no,Lower-middle,42.9,50,57,21.77,50.57,31.92,27,African,AGO
6,Antigua and Barbuda,66.5,no,High,65.5,99,56,27.2,52.24,75.65,66.53,Americas,ATG
7,Argentina,64.8,yes,Upper-middle,65.1,99,64,15.11,50.49,7.65,76.69,Americas,ARG
8,Armenia,64,no,Upper-middle,63.5,100,57,7.82,55.04,36.43,37.07,European,ARM
9,Australia,70.6,yes,High,68.6,99,89,22.05,50.35,13.51,82.7,Western Pacific,AUS
10,Austria,69.8,yes,High,68.2,98,67,7.44,50.77,40.74,74.76,European,AUT
11,Azerbaijan,64,no,Upper-middle,58.5,100,65,12.96,50.66,42.83,46.94,European,AZE
12,Bahamas,61.5,yes,High,62.7,99,60,25.58,52.24,16.51,40.73,Americas,BHS
13,Bahrain,64.2,no,High,61.9,98,86,27.69,38.04,10.26,83.33,Eastern Mediterranean,BHR
14,Bangladesh,63.1,no,Lower-middle,57,70,71,25.71,50.43,60.29,83.07,Southeast Asian,BGD
15,Barbados,66.7,no,High,66,98,69,26.61,52.04,68.68,55.05,Americas,BRB
16,Belarus,63.7,no,Upper-middle,60.8,100,96,7.45,53.96,19.67,67.28,European,BLR
17,Belgium,69.8,yes,High,67.8,NA,76,10.67,50.59,1.85,78.68,European,BEL
18,Belize,63.8,no,Upper-middle,62.3,95,54,25.7,49.73,53.6,54.63,Americas,BLZ
19,Benin,55.7,no,Lower-middle,49.6,81,34,28.02,49.9,50.47,20.54,African,BEN
20,Bhutan,64.8,yes,Lower-middle,57.1,99,64,10.38,47.1,56.31,86.61,Southeast Asian,BTN
21,Bolivia (Plurinational State of),57.4,no,Lower-middle,57.9,72,48,20.76,49.88,29.17,50.4,Americas,BOL
22,Bosnia and Herzegovina,65,no,Upper-middle,66.2,100,34,10.35,50.77,50.16,26.17,European,BIH
23,Botswana,53.1,yes,Upper-middle,40.1,100,39,22.09,50.62,27.78,63.24,African,BWA
24,Brazil,61.8,yes,Upper-middle,61.7,98,75,25.44,50.89,12.45,81.82,Americas,BRA
25,Brunei Darussalam,67.1,no,High,63.9,100,71,26.95,48.28,21.15,99.49,Western Pacific,BRN
26,Bulgaria,62.4,yes,Upper-middle,63.5,95,74,11.35,51.51,23.64,30.64,European,BGR
27,Burkina Faso,54.6,yes,Low,44.9,96,57,29.26,50.17,68.12,23.08,African,BFA
28,Burundi,55.8,no,Low,38.1,75,32,20.51,50.34,85.58,0.28,African,BDI
29,Cabo Verde,63.8,no,Lower-middle,62,97,62,22.53,50.28,32.46,52.05,African,CPV
30,Cambodia,60.6,no,Lower-middle,51.4,99,68,27.41,50.5,74.89,87.63,Western Pacific,KHM
31,Cameroon,54,no,Lower-middle,46.1,69,50,24.8,50.12,41.27,11.45,African,CMR
32,Canada,69.8,yes,High,69.4,98,96,-4.03,50.3,18.25,82.59,Americas,CAN
33,Central African Republic,45.4,no,Low,38.7,40,30,25.47,50.02,56.88,44.54,African,CAF
34,Chad,51.5,no,Low,44.7,47,32,27.63,49.81,75.94,28.33,African,TCD
35,Chile,67.7,yes,High,67,100,83,9.39,50.37,12.09,90.29,Americas,CHL
36,China,68.6,yes,Upper-middle,63.7,100,94,7.59,48.97,36.44,89.54,Western Pacific,CHN
37,Colombia,65,yes,Upper-middle,64.1,98,66,25,50.7,17.95,71.72,Americas,COL
38,Comoros,59,no,Lower-middle,53.8,97,43,23.73,49.76,70.14,47.45,African,COM
39,Congo,54.8,no,Lower-middle,45.4,94,36,24.74,50.06,31.26,10.96,African,COG
40,Costa Rica,67.6,yes,Upper-middle,68,99,65,24.83,49.99,17.96,84.35,Americas,CRI
41,Côte d'Ivoire,55.4,no,Lower-middle,44,84,50,26.8,49.52,47.34,43.2,African,CIV
42,Croatia,66.8,yes,High,65.4,100,76,11.96,51.29,41.78,55.87,European,HRV
43,Cuba,64.6,yes,Upper-middle,67.1,100,96,25.81,50.39,22.6,89.67,Americas,CUB
44,Cyprus,70.7,no,High,69.1,100,66,18.95,49.92,33.09,72.11,European,CYP
45,Czechia,66.7,yes,High,65.9,100,77,8.6,50.74,25.62,65.71,European,CZE
46,Democratic People's Republic of Korea,64.7,yes,Low,57.8,100,57,6.98,50.5,37.08,NA,Southeast Asian,PRK
47,Democratic Republic of the Congo,53.2,no,Low,45.3,85,33,24.35,50.39,53.16,14.54,African,COD
48,Denmark,70.1,yes,High,67.6,96,97,8.9,50.25,11.63,80.11,European,DNK
49,Djibouti,57,no,Lower-middle,52.7,NA,34,28.49,50.37,21.62,35.79,Eastern Mediterranean,DJI
50,Dominica,NA,no,Upper-middle,NA,100,61,26.83,50.29,28.3,42.14,Americas,DMA
51,Dominican Republic,63.6,no,Upper-middle,64.1,99,52,24.55,49.82,16.15,54.6,Americas,DOM
52,Ecuador,64.3,no,Upper-middle,65.2,96,61,21.43,50.09,35.43,79.11,Americas,ECU
53,Egypt,60.4,yes,Lower-middle,61.2,97,91,23.14,49.43,57.03,38.15,Eastern Mediterranean,EGY
54,El Salvador,62.2,no,Lower-middle,62.7,98,92,25.23,52.39,25.23,68.56,Americas,SLV
55,Equatorial Guinea,53.3,no,Upper-middle,46.8,NA,44,24.66,47.23,25.99,12.78,African,GNQ
56,Eritrea,55.4,no,Low,47,NA,59,26.63,50.66,57.38,NA,African,ERI
57,Estonia,66.7,no,High,62.6,99,72,6.34,52.52,30.39,65.06,European,EST
58,Eswatini,47.5,no,Lower-middle,41.3,93,64,20.64,50.39,75.42,35.56,African,SWZ
59,Ethiopia,58.8,no,Low,44.3,50,70,23.37,49.76,77.34,35.38,African,ETH
