fips,state,county,prem_2020,prem_2016
FIPS_01001,AL,Autauga County,8027.4,9409.3
FIPS_01003,AL,Baldwin County,8118.4,7467.6
FIPS_01005,AL,Barbour County,12876.8,8929.5
FIPS_01007,AL,Bibb County,11191.5,11741.9
FIPS_01009,AL,Blount County,10787,9359.1
FIPS_01011,AL,Bullock County,11406.4,12343.1
FIPS_01013,AL,Butler County,12717,12779.3
FIPS_01015,AL,Calhoun County,11826.1,11527.8
FIPS_01017,AL,Chambers County,11059.4,10350
FIPS_01019,AL,Cherokee County,11395.9,11683.2
FIPS_01021,AL,Chilton County,10342.2,11099.7
FIPS_01023,AL,Choctaw County,12128.7,11558.7
FIPS_01025,AL,Clarke County,14428,9133.8
FIPS_01027,AL,Clay County,12553.9,10235.9
FIPS_01029,AL,Cleburne County,10529.9,11380.5
FIPS_01031,AL,Coffee County,9298.4,7295.4
FIPS_01033,AL,Colbert County,11072,10566.5
FIPS_01035,AL,Conecuh County,15565,12051.5
FIPS_01037,AL,Coosa County,13476.8,9704.5
FIPS_01039,AL,Covington County,12059.2,10307.1
FIPS_01041,AL,Crenshaw County,12024.6,9452.3
FIPS_01043,AL,Cullman County,10570.6,10054.3
FIPS_01045,AL,Dale County,10384.8,7910.3
FIPS_01047,AL,Dallas County,15053.3,12999
FIPS_01049,AL,DeKalb County,10883.1,9760.5
FIPS_01051,AL,Elmore County,9205,8818
FIPS_01053,AL,Escambia County,13083.9,10773.2
FIPS_01055,AL,Etowah County,12211.1,11419
FIPS_01057,AL,Fayette County,12488.5,10281.8
FIPS_01059,AL,Franklin County,10961.3,11639.5
FIPS_01061,AL,Geneva County,12682.5,9969.7
FIPS_01063,AL,Greene County,14803.4,14001.4
FIPS_01065,AL,Hale County,13406.6,10560.7
FIPS_01067,AL,Henry County,10034,7766.3
FIPS_01069,AL,Houston County,9505.4,8719.7
FIPS_01071,AL,Jackson County,11395.2,11391.9
FIPS_01073,AL,Jefferson County,11420.4,10474.2
FIPS_01075,AL,Lamar County,9967.8,9712.6
FIPS_01077,AL,Lauderdale County,9011.6,8671.7
FIPS_01079,AL,Lawrence County,12573.7,10953.2
FIPS_01081,AL,Lee County,7312.5,7981.6
FIPS_01083,AL,Limestone County,7851.8,7437.4
FIPS_01085,AL,Lowndes County,16605.9,14443.6
FIPS_01087,AL,Macon County,14740.2,13908.7
FIPS_01089,AL,Madison County,8359.5,7545.7
FIPS_01091,AL,Marengo County,15174.4,11659.8
FIPS_01093,AL,Marion County,11966.7,10659.3
FIPS_01095,AL,Marshall County,10517.5,10601
FIPS_01097,AL,Mobile County,10973.9,10126.9
FIPS_01099,AL,Monroe County,13663.9,11540.1
FIPS_01101,AL,Montgomery County,10524.5,10049.5
FIPS_01103,AL,Morgan County,10859.8,8845.5
FIPS_01105,AL,Perry County,16198.6,13552.7
FIPS_01107,AL,Pickens County,10619,10691.9
FIPS_01109,AL,Pike County,11573.6,9612
FIPS_01111,AL,Randolph County,11567.6,12086.6
FIPS_01113,AL,Russell County,11474.8,9186.8
FIPS_01115,AL,St. Clair County,9846.1,9818.2
FIPS_01117,AL,Shelby County,6125.2,6226.7
