FIPS,state,county,vote2020,firearm_cat,firearm_rate
FIPS_01001,AL,Autauga County,66.2,Above 17,17.59
FIPS_01005,AL,Barbour County,54,Above 17,25.52
FIPS_01007,AL,Bibb County,54.6,Above 17,17.82
FIPS_01009,AL,Blount County,64.2,Above 17,20.4
FIPS_01011,AL,Bullock County,59.1,Above 17,25.55
FIPS_01013,AL,Butler County,62.9,Above 17,26.41
FIPS_01015,AL,Calhoun County,57.9,Above 17,26.11
FIPS_01017,AL,Chambers County,58.5,Above 17,26.9
FIPS_01019,AL,Cherokee County,59.5,Above 17,25.36
FIPS_01025,AL,Clarke County,70.3,Above 17,22.63
FIPS_01027,AL,Clay County,66.4,Above 17,22.56
FIPS_01029,AL,Cleburne County,63.1,Above 17,24.1
FIPS_01031,AL,Coffee County,57.2,Above 17,20.34
FIPS_01033,AL,Colbert County,64.8,Above 17,21.52
FIPS_01035,AL,Conecuh County,66.6,Above 17,27.84
FIPS_01037,AL,Coosa County,61.7,Above 17,18.74
FIPS_01039,AL,Covington County,60.3,Above 17,22.64
FIPS_01041,AL,Crenshaw County,62.5,Above 17,21.72
FIPS_01045,AL,Dale County,52.9,Above 17,22.4
FIPS_01047,AL,Dallas County,62.2,Above 17,40.87
FIPS_01049,AL,DeKalb County,58.9,Above 17,19.04
FIPS_01051,AL,Elmore County,65.7,Above 17,24.22
FIPS_01053,AL,Escambia County,55.9,Above 17,23.26
FIPS_01055,AL,Etowah County,60.3,Above 17,20.68
FIPS_01057,AL,Fayette County,68,Above 17,19.51
FIPS_01065,AL,Hale County,69.8,Above 17,27.1
FIPS_01067,AL,Henry County,68.8,Above 17,19.78
FIPS_01069,AL,Houston County,57.8,Above 17,17.12
FIPS_01071,AL,Jackson County,58.4,Above 17,23.55
FIPS_01073,AL,Jefferson County,66,Above 17,31.11
FIPS_01079,AL,Lawrence County,62.6,Above 17,24.24
FIPS_01081,AL,Lee County,57.7,Above 17,17.89
FIPS_01083,AL,Limestone County,67,Above 17,17.13
FIPS_01085,AL,Lowndes County,89.2,Above 17,62.28
FIPS_01087,AL,Macon County,57.4,Above 17,47.76
FIPS_01089,AL,Madison County,69.9,Above 17,18.07
FIPS_01091,AL,Marengo County,74.6,Above 17,22.99
FIPS_01093,AL,Marion County,59.1,Above 17,20.8
FIPS_01097,AL,Mobile County,58.7,Above 17,25.19
FIPS_01099,AL,Monroe County,65.1,Above 17,18.08
FIPS_01101,AL,Montgomery County,59.2,Above 17,29.47
FIPS_01103,AL,Morgan County,60.8,Above 17,23.64
FIPS_01105,AL,Perry County,73.6,Above 17,21.9
FIPS_01109,AL,Pike County,53.3,Above 17,19.88
FIPS_01111,AL,Randolph County,61,Above 17,24.63
FIPS_01113,AL,Russell County,49.3,Above 17,31.12
FIPS_01119,AL,Sumter County,63.4,Above 17,26.95
FIPS_01121,AL,Talladega County,57.3,Above 17,27.25
FIPS_01123,AL,Tallapoosa County,66.2,Above 17,26.68
FIPS_01127,AL,Walker County,63.4,Above 17,23.79
FIPS_01129,AL,Washington County,69.2,Above 17,25.62
FIPS_01131,AL,Wilcox County,73.8,Above 17,35.91
FIPS_01133,AL,Winston County,60.7,Above 17,22.82
FIPS_04003,AZ,Cochise County,64,Above 17,20.45
FIPS_04007,AZ,Gila County,65.3,Above 17,30.45
FIPS_04012,AZ,La Paz County,45.8,Above 17,37.28
FIPS_04015,AZ,Mohave County,62.1,Above 17,28.44
FIPS_04017,AZ,Navajo County,64.9,Above 17,23.71
FIPS_04019,AZ,Pima County,68.3,Above 17,17.76
FIPS_04023,AZ,Santa Cruz County,69.1,Below 10,6.47
FIPS_04025,AZ,Yavapai County,75.8,Above 17,27.22
FIPS_05001,AR,Arkansas County,46.3,Above 17,21.39
FIPS_05003,AR,Ashley County,52.7,Above 17,24.04
FIPS_05005,AR,Baxter County,61.4,Above 17,30.26
FIPS_05009,AR,Boone County,59.4,Above 17,19.23
FIPS_05011,AR,Bradley County,47.6,Above 17,20.31
FIPS_05017,AR,Chicot County,51.8,Above 17,24.97
FIPS_05023,AR,Cleburne County,63.1,Above 17,23.18
FIPS_05027,AR,Columbia County,46.7,Above 17,22.91
FIPS_05031,AR,Craighead County,48.6,Above 17,17.28
FIPS_05035,AR,Crittenden County,47.2,Above 17,28.94
FIPS_05037,AR,Cross County,56.2,Above 17,18.04
FIPS_05039,AR,Dallas County,47.4,Above 17,27.89
FIPS_05041,AR,Desha County,50.4,Above 17,20.83
