C_NUM,COUNTRY_NAME,ISO_ALPHA3,UHC_INDEX,UNIV_CARE,GDP_PERCAP,WHO_REGION
1,Afghanistan,AFG,41,no,356,Eastern Mediterranean
2,Albania,ALB,64,yes,6810,European
3,Algeria,DZA,74,yes,4343,African
4,Andorra,AND,79,no,41993,European
5,Angola,AGO,37,no,3000,African
6,Antigua and Barbuda,ATG,76,no,19920,Americas
7,Argentina,ARG,79,yes,13651,Americas
8,Armenia,ARM,68,no,7018,European
9,Australia,AUS,87,yes,65100,Western Pacific
10,Austria,AUT,85,yes,52085,European
11,Azerbaijan,AZE,66,no,7762,European
12,Bahamas,BHS,77,yes,31458,Americas
13,Bahrain,BHR,76,no,30147,Eastern Mediterranean
14,Bangladesh,BGD,52,no,2688,Southeast Asian
15,Barbados,BRB,77,no,20239,Americas
16,Belarus,BLR,79,no,7888,European
17,Belgium,BEL,86,yes,49927,European
18,Belize,BLZ,68,no,6984,Americas
19,Benin,BEN,38,no,1303,African
20,Bhutan,BTN,60,yes,3560,Southeast Asian
21,Bolivia (Plurinational State of),BOL,65,no,3600,Americas
22,Bosnia and Herzegovina,BIH,66,no,7569,European
23,Botswana,BWA,55,yes,7739,African
24,Brazil,BRA,80,yes,8918,Americas
25,Brunei Darussalam,BRN,78,no,37152,Western Pacific
26,Bulgaria,BGR,73,yes,13974,European
27,Burkina Faso,BFA,40,yes,830,African
28,Burundi,BDI,41,no,259,African
29,Cabo Verde,CPV,71,no,3754,African
30,Cambodia,KHM,58,no,1760,Western Pacific
31,Cameroon,CMR,44,no,1563,African
32,Canada,CAN,91,yes,55522,Americas
33,Central African Republic,CAF,32,no,427,African
34,Chad,TCD,29,no,717,African
35,Chile,CHL,82,yes,15355,Americas
36,China,CHN,81,yes,12720,Western Pacific
37,Colombia,COL,80,yes,6624,Americas
38,Comoros,COM,48,no,1485,African
39,Congo,COG,41,no,2649,African
40,Costa Rica,CRI,81,yes,13365,Americas
41,Côte d'Ivoire,CIV,43,no,2486,African
42,Croatia,HRV,80,yes,18570,European
43,Cuba,CUB,83,yes,9500,Americas
44,Cyprus,CYP,81,no,32048,European
45,Czechia,CZE,84,yes,27227,European
