order,Guessers,Source,People,Chong,Archuleta,Mayfield,Love,McGinn,Chaney,Storm,Glantz,Honey,Lawson,Err_Chong,Err_Archuleta,Err_Mayfield,Err_Love,Err_McGinn,Err_Chaney,Err_Storm,Err_Glantz,Err_Honey,Err_Lawson,AbsErr_Chong,AbsErr_Archuleta,AbsErr_Mayfield,AbsErr_Love,AbsErr_McGinn,AbsErr_Chaney,AbsErr_Storm,AbsErr_Glantz,AbsErr_Honey,AbsErr_Lawson,Sqr_E_Chong,Sqr_E_Archuleta,Sqr_E_Mayfield,Sqr_E_Love,Sqr_E_McGinn,Sqr_E_Chaney,Sqr_E_Storm,Sqr_E_Glantz,Sqr_E_Honey,Sqr_E_Lawson,BeatAI_Chong,BeatAI_Archuleta,BeatAI_Mayfield,BeatAI_Love,BeatAI_McGinn,BeatAI_Chaney,BeatAI_Storm,BeatAI_Glantz,BeatAI_Honey,BeatAI_Lawson,Correct,Within 2,Within 5,Too Low,Too High,Beat AI,Mean Error,SD Errors,Median Error,Min Error,Max Error,Mean AE,Min AE,Max AE,Median AE,RMSE,Group
1,Big Data,Students,4,31,53,29,19,48,68,49,71,24,26,10,-11,1,5,-6,-6,5,-12,0,-8,10,11,1,5,6,6,5,12,0,8,100,121,1,25,36,36,25,144,0,64,0,1,0,0,0,1,1,1,1,0,1,2,4,4,5,5,6.4,3.977715704,-3,-12,10,6,0,12,6,7.43,Big Data
2,Pillars of Freedom,Students,4,25,53,30,15,65,68,45,75,35,28,4,-11,2,1,11,-6,1,-8,11,-6,4,11,2,1,11,6,1,8,11,6,16,121,4,1,121,36,1,64,121,36,0,1,0,1,0,1,1,1,0,0,0,3,4,6,4,5,6.1,4.067486256,1,-11,14,5.2,0,14,3.5,7.22,Pillars of Freedom
3,Mangos,Students,4,27,45,27,13,59,70,42,81,32,27,6,-19,-1,-1,5,-4,-2,-2,8,-7,6,19,1,1,5,4,2,2,8,7,36,361,1,1,25,16,4,4,64,49,0,0,0,1,0,1,1,1,0,0,0,4,6,3,7,4,5.5,5.35931173,4,-9,13,5.4,0,13,4.5,7.49,Mangos
4,Multicultural Thunder,Students,4,22,61,33,14,69,76,46,87,31,27,1,-3,5,0,15,2,2,4,7,-7,1,3,5,0,15,2,2,4,7,7,1,9,25,0,225,4,4,16,49,49,0,1,0,1,0,1,1,1,0,0,1,4,7,7,2,5,4.6,4.351245033,-1,-6,10,4.6,0,10,4.5,6.18,Multicultural Thunder
5,CAAH,Students,4,27,61,36,17,65,78,46,82,34,43,6,-3,8,3,11,4,2,-1,10,9,6,3,8,3,11,4,2,1,10,9,36,9,64,9,121,16,4,1,100,81,0,1,0,1,0,1,1,1,0,0,0,2,5,8,2,5,5.7,3.591656999,1,-2,7,2.4,0,7,1.5,6.64,CAAH
6,Chipmunk,Students,4,27,56,24,15,67,75,48,86,34,32,6,-8,-4,1,13,1,4,3,10,-2,6,8,4,1,13,1,4,3,10,2,36,64,16,1,169,1,16,9,100,4,0,1,0,1,0,1,1,1,0,1,0,3,6,7,3,6,5.2,4.022160834,-0.5,-8,8,5.2,0,8,5.5,6.45,Chipmunk
7,Bio-Baddies,Students,5,25,52,34,14,69,72,43,75,30,28,4,-12,6,0,15,-2,-1,-8,6,-6,4,12,6,0,15,2,1,8,6,6,16,144,36,0,225,4,1,64,36,36,0,1,0,1,0,1,1,1,0,0,1,3,4,4,5,5,6,4.737556801,2,-3,14,4.4,1,14,3,7.50,Bio-Baddies
8,Mean Squad,Students,5,24,55,30,15,60,65,40,65,27,33,3,-9,2,1,6,-9,-4,-18,3,-1,3,9,2,1,6,9,4,18,3,1,9,81,4,1,36,81,16,324,9,1,0,1,0,1,0,0,1,0,1,1,0,3,6,5,5,5,5.6,5.253570215,0.5,-6,16,4.4,1,16,3,7.50,Mean Squad
9,TukeySEASE,Students,4,28,52,28,13,65,78,45,84,33,30,7,-12,0,-1,11,4,1,1,9,-4,7,12,0,1,11,4,1,1,9,4,49,144,0,1,121,16,1,1,81,16,0,1,1,1,0,1,1,1,0,1,1,4,6,6,3,7,5,4.472135955,0,-13,9,5.8,1,13,6,6.56,TukeySEASE
10,Bonferroni,Students,5,21,56,30,15,70,68,51,84,37,26,0,-8,2,1,16,-6,7,1,13,-8,0,8,2,1,16,6,7,1,13,8,0,64,4,1,256,36,49,1,169,64,0,1,0,1,0,1,1,1,0,0,1,4,4,6,3,5,6.2,5.370702416,4,-10,8,5.2,2,10,5,8.02,Bonferroni
11,< 0.05,Students,5,23,44,28,16,58,74,38,68,40,25,2,-20,0,2,4,0,-6,-15,16,-9,2,20,0,2,4,0,6,15,16,9,4,400,0,4,16,0,36,225,256,81,0,0,1,1,1,1,1,0,0,0,2,4,5,4,4,5,7.4,7.260241808,1,-5,16,4.7,1,16,4,10.11,< 0.05
12,AI 2025-08-21 - howolddoyoulook,AI,0,21,49,27,18,49,66,34,68,30,28,0,-15,-1,4,-5,-8,-10,-15,6,-6,0,15,1,4,5,8,10,15,6,6,0,225,1,16,25,64,100,225,36,36,,,,,,,,,,,1,2,4,2,7,,7,5.142416207,-5.5,-15,6,7,0,15,6,8.53,AI 2025-08-21 - howolddoyoulook
13,True Age,Actual,0,21,64,28,14,54,74,44,83,24,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True Age
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
